ts,bid_px,ask_px,bid_sz,ask_sz
1773754206528123729,250.0,252.72,100.0,100.0
1773754206528640974,250.0,252.7,100.0,100.0
1773754206528761831,250.0,252.7,100.0,100.0
1773754206528862089,250.0,252.69,100.0,100.0
1773754206528889893,252.6,252.69,100.0,100.0
1773754206528931524,252.6,253.35,100.0,100.0
1773754206528951211,250.0,253.35,100.0,100.0
1773754206529074974,250.0,252.69,100.0,100.0
1773754206529271228,250.0,253.35,100.0,100.0
1773754206529442040,252.53,253.35,100.0,100.0
1773754206529526780,250.0,253.35,100.0,100.0
1773754206529899888,252.6,253.35,100.0,100.0
1773754206529919926,250.0,253.35,100.0,100.0
1773754206530003494,252.6,253.35,100.0,100.0
1773754206530033410,250.0,253.35,100.0,100.0
1773754206530256389,252.6,253.35,100.0,100.0
1773754206530737198,250.0,253.35,100.0,100.0
1773754206530782551,252.6,253.35,100.0,100.0
1773754206531763495,250.0,253.35,100.0,100.0
1773754206531789956,252.62,253.35,100.0,100.0
1773754206547172991,252.63,253.35,100.0,100.0
1773754206547212022,252.62,253.35,100.0,100.0
1773754206547233704,250.0,253.35,100.0,100.0
1773754206547286535,252.63,253.35,100.0,100.0
1773754206547341982,250.0,253.35,100.0,100.0
1773754206547371064,252.63,253.35,100.0,100.0
1773754206547706055,252.67,253.35,100.0,100.0
1773754206547824777,250.0,253.35,100.0,100.0
1773754206547934822,250.0,252.72,100.0,100.0
1773754206548015799,250.0,253.35,100.0,100.0
1773754206563364994,250.0,252.74,100.0,100.0
1773754206563431432,250.0,253.35,100.0,100.0
1773754206567191058,252.58,253.35,100.0,100.0
1773754206579288101,252.66,253.35,100.0,100.0
1773754206579434461,250.0,253.35,100.0,100.0
1773754206579487759,252.66,253.35,100.0,100.0
1773754206579509602,250.0,253.35,100.0,100.0
1773754206579654379,250.0,252.75,100.0,100.0
1773754206597907127,250.0,253.35,100.0,100.0
1773754206597938964,250.0,253.35,100.0,100.0
1773754206630184879,252.7,253.35,100.0,100.0
1773754206630334552,252.71,253.35,100.0,100.0
1773754206630409084,252.65,253.35,100.0,100.0
1773754206630585996,252.65,253.35,200.0,100.0
1773754206630616672,252.65,253.35,100.0,100.0
1773754206630661273,252.65,253.35,200.0,100.0
1773754206630739949,252.65,253.35,100.0,100.0
1773754206630787725,250.0,253.35,100.0,100.0
1773754206630902665,252.65,253.35,100.0,100.0
1773754206631034337,250.0,253.35,100.0,100.0
1773754206631597638,252.66,253.35,100.0,100.0
1773754206637891112,252.66,252.74,100.0,100.0
1773754206641006336,252.66,253.35,100.0,100.0
1773754206648417716,252.66,252.74,100.0,100.0
1773754206648760102,252.66,252.75,100.0,100.0
1773754206649077466,252.7,252.75,100.0,100.0
1773754206649174350,252.7,253.35,100.0,100.0
1773754206649244680,252.66,253.35,100.0,100.0
1773754206649278664,250.0,253.35,100.0,100.0
1773754206649345539,252.7,253.35,100.0,100.0
1773754206649381600,250.0,253.35,100.0,100.0
1773754206649461006,250.0,252.75,100.0,100.0
1773754206649499975,250.0,253.35,100.0,100.0
1773754206649544004,250.0,252.75,100.0,100.0
1773754206649564749,250.0,253.35,100.0,100.0
1773754206678695096,250.0,252.73,100.0,100.0
1773754206678810455,252.56,252.73,100.0,100.0
1773754206678885385,250.0,252.73,100.0,100.0
1773754206774125715,250.0,253.35,100.0,100.0
1773754206774168964,252.55,253.35,100.0,100.0
1773754207082824153,250.0,253.35,100.0,100.0
1773754207082856438,252.55,253.35,100.0,100.0
1773754207083009490,250.0,253.35,100.0,100.0
1773754207083038491,252.55,253.35,100.0,100.0
1773754207083365680,250.0,253.35,100.0,100.0
1773754207083423814,252.59,253.35,100.0,100.0
1773754207083609414,252.6,253.35,100.0,100.0
1773754207083744295,250.0,253.35,100.0,100.0
1773754207083799497,252.64,253.35,100.0,100.0
1773754207083822624,250.0,253.35,100.0,100.0
1773754207083854328,250.0,252.73,100.0,100.0
1773754207083905493,250.0,253.35,100.0,100.0
1773754207084444206,252.57,253.35,100.0,100.0
1773754207084473667,250.0,253.35,100.0,100.0
1773754207084529390,252.6,253.35,100.0,100.0
1773754207084658217,250.0,253.35,100.0,100.0
1773754207084701437,252.6,253.35,100.0,100.0
1773754207084721457,250.0,253.35,100.0,100.0
1773754207084759858,252.6,253.35,100.0,100.0
1773754207084826804,250.0,253.35,100.0,100.0
1773754207088212328,250.0,252.7,100.0,100.0
1773754207098249777,250.0,253.35,100.0,100.0
1773754207102445164,250.0,252.71,100.0,100.0
1773754207102958386,252.55,252.71,100.0,100.0
1773754207103067908,250.0,252.71,100.0,100.0
1773754207103088977,250.0,253.35,100.0,100.0
1773754207103358645,252.55,253.35,100.0,100.0
1773754207103539122,250.0,253.35,100.0,100.0
1773754207103567073,252.55,253.35,100.0,100.0
1773754207103672833,250.0,253.35,100.0,100.0
1773754207103702072,252.55,253.35,100.0,100.0
1773754207103784386,250.0,253.35,100.0,100.0
1773754207103824247,252.62,253.35,100.0,100.0
1773754207103869815,250.0,253.35,100.0,100.0
1773754207103907572,252.6,253.35,100.0,100.0
1773754207104095969,252.59,253.35,100.0,100.0
1773754207104861344,250.0,253.35,100.0,100.0
1773754207104889470,252.59,253.35,100.0,100.0
1773754207105945158,250.0,253.35,100.0,100.0
1773754207105973374,252.59,253.35,100.0,100.0
1773754207106924770,250.0,253.35,100.0,100.0
1773754207106951215,252.6,253.35,100.0,100.0
1773754207133203407,252.59,253.35,100.0,100.0
1773754207133313537,252.59,252.68,100.0,100.0
1773754207133797537,252.59,253.35,100.0,100.0
1773754207133822077,250.0,253.35,100.0,100.0
1773754207133873220,252.59,253.35,100.0,100.0
1773754207134557417,250.0,253.35,100.0,100.0
1773754207134586209,252.59,253.35,100.0,100.0
1773754207136134748,250.0,253.35,100.0,100.0
1773754207136158846,252.6,253.35,100.0,100.0
1773754207139231124,252.59,253.35,100.0,100.0
1773754207139856817,250.0,253.35,100.0,100.0
1773754207139882963,252.59,253.35,100.0,100.0
1773754207140200121,250.0,253.35,100.0,100.0
1773754207145050481,252.57,253.35,100.0,100.0
1773754207170956214,252.57,252.72,100.0,100.0
1773754207171819003,252.57,253.35,100.0,100.0
1773754207184587139,252.66,253.35,100.0,100.0
1773754207184730581,250.0,253.35,100.0,100.0
1773754207184812528,252.66,253.35,100.0,100.0
1773754207184832195,250.0,253.35,100.0,100.0
1773754207184952187,250.0,252.73,100.0,100.0
1773754207185011259,250.0,253.35,100.0,100.0
1773754207185074518,250.0,252.73,100.0,100.0
1773754207185298830,250.0,253.35,100.0,100.0
1773754207185656965,250.0,252.73,100.0,100.0
1773754207185802799,250.0,252.73,100.0,200.0
1773754207185852636,250.0,252.73,100.0,100.0
1773754207185884465,252.56,252.73,100.0,100.0
1773754207186015058,252.56,253.35,100.0,100.0
1773754207187363122,250.0,253.35,100.0,100.0
1773754207187394288,252.56,253.35,100.0,100.0
1773754207188253761,250.0,253.35,100.0,100.0
1773754207188279374,252.56,253.35,100.0,100.0
1773754207189309462,250.0,253.35,100.0,100.0
