ts,open_px,high_px,low_px,close_px,volume
1773776760000,671.08,671.19,671.0,671.08,1940.0
1773776820000,671.065,671.09,670.97,670.99,3492.0
1773776880000,671.0,671.17,670.99,671.17,6877.0
1773776940000,671.18,671.21,671.13,671.185,6540.0
1773777000000,671.2,671.2,670.695,670.705,24228.0
1773777060000,670.725,670.955,670.725,670.815,21951.0
1773777120000,670.81,670.91,670.745,670.825,18265.0
1773777180000,670.78,670.785,670.65,670.785,12635.0
1773777240000,670.74,671.22,670.6,671.22,5291.0
1773777300000,671.16,671.16,670.755,670.755,7440.0
1773777360000,670.69,670.76,670.625,670.625,10692.0
1773777420000,670.63,670.63,670.49,670.52,9097.0
1773777480000,670.48,670.62,670.48,670.62,28121.0
1773777540000,670.61,670.98,670.6,670.75,58497.0
